Unnamed: 0,Home_goals,Home_pim,Home_shots,Home_powerPlayPercentage,Home_powerPlayGoals,Home_powerPlayOpportunities,Home_faceOffWinPercentage,Home_blocked,Home_takeaways,Home_giveaways,Home_hits,Away_goals,Away_pim,Away_shots,Away_powerPlayPercentage,Away_powerPlayGoals,Away_powerPlayOpportunities,Away_blocked,Away_takeaways,Away_giveaways,Away_hits,Goals_Diff,Shots_Diff,Blocked_Diff,PIM_Diff,PowerPlayGoals_Diff,Takeaways_Diff,Giveaways_Diff,Hits_Diff,Winner_binary,Points_Diff
2019020653,0,0,10,0.0,0.0,0.0,0.588,4,4,4,6,0,0,13,0.0,0.0,0.0,3,3,4,8,0,-3,1,0,0.0,1,0,-2,0.0,20
2019020654,1,2,10,0.0,0.0,2.0,0.412,10,1,4,9,2,6,11,0.0,0.0,0.0,3,1,0,9,-1,-1,7,-4,0.0,0,4,0,1.0,8
2019020655,0,2,13,0.0,0.0,1.0,0.55,0,7,3,8,2,2,5,0.0,0.0,1.0,2,3,2,6,-2,8,-2,0,0.0,4,1,2,1.0,0
2019020656,3,4,9,1.0,1.0,1.0,0.389,7,3,2,3,2,2,14,0.5,1.0,2.0,7,0,0,4,1,-5,0,2,0.0,3,2,-1,1.0,-2
2019020657,0,4,12,0.0,0.0,2.0,0.444,7,0,3,9,2,4,8,0.5,1.0,2.0,7,4,3,12,-2,4,0,0,-1.0,-4,0,-3,0.0,19
2019020658,1,7,21,0.0,0.0,0.0,0.524,4,2,3,3,1,7,4,0.0,0.0,0.0,6,1,6,10,0,17,-2,0,0.0,1,-3,-7,1.0,-7
2019020659,0,4,11,0.0,0.0,0.0,0.619,7,5,5,5,1,0,17,0.0,0.0,2.0,1,1,0,11,-1,-6,6,4,0.0,4,5,-6,1.0,4
2019020660,0,2,12,0.0,0.0,0.0,0.5,1,3,7,19,0,0,11,0.0,0.0,1.0,3,1,4,11,0,1,-2,2,0.0,2,3,8,1.0,-5
2019020661,0,2,15,0.0,0.0,1.0,0.333,13,5,6,5,0,2,5,0.0,0.0,1.0,3,2,3,9,0,10,10,0,0.0,3,3,-4,0.0,-1
2019020662,1,2,16,0.0,0.0,0.0,0.467,2,4,1,7,0,0,10,0.0,0.0,1.0,6,0,4,7,1,6,-4,2,0.0,4,-3,0,1.0,-8
2019020663,0,2,9,0.0,0.0,2.0,0.35700000000000004,4,4,1,5,1,4,7,0.0,0.0,1.0,4,1,1,7,-1,2,0,-2,0.0,3,0,-2,0.0,2
2019020664,0,0,14,0.0,0.0,1.0,0.593,2,4,4,9,0,2,11,0.0,0.0,0.0,5,3,2,16,0,3,-3,-2,0.0,1,2,-7,1.0,-3
2019020665,1,0,8,0.0,0.0,0.0,0.5329999999999999,1,3,3,11,2,0,11,0.0,0.0,0.0,5,6,1,10,-1,-3,-4,0,0.0,-3,2,1,1.0,-19
2019020667,0,0,13,0.0,0.0,0.0,0.409,2,4,5,11,1,0,8,0.0,0.0,0.0,3,3,6,8,-1,5,-1,0,0.0,1,-1,3,0.0,26
2019020668,2,2,16,0.0,0.0,0.0,0.429,1,4,7,9,2,0,8,0.0,0.0,1.0,5,0,5,15,0,8,-4,2,0.0,4,2,-6,0.0,1
2019020666,2,7,11,0.5,1.0,2.0,0.615,4,5,2,9,2,19,9,0.0,0.0,1.0,5,0,3,7,0,2,-1,-12,1.0,5,-1,2,0.0,-12
2019020669,0,2,12,0.0,0.0,3.0,0.45,8,1,5,6,1,6,6,0.0,0.0,1.0,6,2,2,9,-1,6,2,-4,0.0,-1,3,-3,0.0,-20
2019020670,0,0,10,0.0,0.0,1.0,0.5,4,2,6,7,0,2,5,0.0,0.0,0.0,5,2,3,11,0,5,-1,-2,0.0,0,3,-4,0.0,17
2019020671,0,2,8,0.0,0.0,1.0,0.471,1,4,3,8,1,4,13,0.0,0.0,0.0,3,4,2,2,-1,-5,-2,-2,0.0,0,1,6,1.0,-14
2019020672,1,0,14,0.0,0.0,1.0,0.556,7,6,5,3,0,2,6,0.0,0.0,0.0,5,3,4,14,1,8,2,-2,0.0,3,1,-11,1.0,-5
2019020673,0,0,13,0.0,0.0,1.0,0.409,1,4,3,13,2,2,8,0.0,0.0,0.0,5,1,1,8,-2,5,-4,-2,0.0,3,2,5,1.0,-1
2019020674,1,0,15,0.0,0.0,1.0,0.5,1,2,2,11,1,2,8,0.0,0.0,0.0,5,2,3,7,0,7,-4,-2,0.0,0,-1,4,1.0,-9
2019020675,1,0,6,0.0,0.0,1.0,0.6,4,4,2,4,2,2,4,0.0,0.0,0.0,2,4,6,11,-1,2,2,-2,0.0,0,-4,-7,1.0,3
2019020676,2,0,13,0.0,0.0,1.0,0.688,4,1,1,6,2,12,8,0.0,0.0,0.0,6,1,5,10,0,5,-2,-12,0.0,0,-4,-4,0.0,-15
2019020677,1,2,7,0.0,0.0,1.0,0.632,3,0,2,7,0,2,6,0.0,0.0,1.0,0,1,2,8,1,1,3,0,0.0,-1,0,-1,1.0,-14
2019020678,1,0,12,0.0,0.0,0.0,0.667,1,4,6,8,1,0,6,0.0,0.0,0.0,3,2,3,14,0,6,-2,0,0.0,2,3,-6,0.0,9
2019020679,1,2,14,0.0,0.0,1.0,0.565,1,3,3,4,0,2,6,0.0,0.0,1.0,4,2,7,7,1,8,-3,0,0.0,1,-4,-3,1.0,-8
2019020680,2,0,10,0.0,0.0,0.0,0.55,2,0,3,7,0,0,10,0.0,0.0,0.0,4,1,1,8,2,0,-2,0,0.0,-1,2,-1,0.0,0
2019020681,3,4,16,0.0,0.0,1.0,0.609,5,5,8,9,1,2,13,0.0,0.0,2.0,4,2,4,11,2,3,1,2,0.0,3,4,-2,0.0,-1
2019020682,3,2,14,0.5,1.0,2.0,0.5,2,3,2,4,2,4,17,0.0,0.0,1.0,7,2,4,6,1,-3,-5,-2,1.0,1,-2,-2,0.0,7
2019020683,2,0,11,0.0,0.0,0.0,0.444,2,3,4,5,0,0,7,0.0,0.0,0.0,5,2,3,11,2,4,-3,0,0.0,1,1,-6,0.0,16
2019020684,0,2,10,0.0,0.0,0.0,0.667,3,0,3,17,3,0,12,0.0,0.0,1.0,7,7,4,16,-3,-2,-4,2,0.0,-7,-1,1,1.0,-1
2019020685,1,2,17,1.0,1.0,1.0,0.381,1,3,5,6,0,2,14,0.0,0.0,1.0,4,4,3,5,1,3,-3,0,1.0,-1,2,1,0.0,5
2019020686,0,0,10,0.0,0.0,0.0,0.619,7,7,0,13,4,0,18,0.0,0.0,0.0,4,0,3,10,-4,-8,3,0,0.0,7,-3,3,1.0,16
2019020687,0,2,11,0.0,0.0,0.0,0.556,2,3,4,8,1,0,6,1.0,1.0,1.0,4,1,3,6,-1,5,-2,2,-1.0,2,1,2,1.0,-15
2019020688,0,2,14,0.0,0.0,0.0,0.526,4,6,2,5,0,0,12,0.0,0.0,1.0,7,2,4,9,0,2,-3,2,0.0,4,-2,-4,0.0,-8
2019020689,1,0,6,0.0,0.0,0.0,0.474,1,3,6,11,0,0,10,0.0,0.0,0.0,6,2,3,9,1,-4,-5,0,0.0,1,3,2,0.0,-12
2019020690,1,2,13,0.0,0.0,1.0,0.4,3,6,4,4,0,2,11,0.0,0.0,1.0,2,2,6,6,1,2,1,0,0.0,4,-2,-2,0.0,-2
2019020691,1,0,9,1.0,1.0,1.0,0.5,5,5,4,9,0,2,7,0.0,0.0,0.0,5,6,3,10,1,2,0,-2,1.0,-1,1,-1,1.0,-3
2019020692,1,2,9,0.0,0.0,1.0,0.385,2,1,2,6,1,2,13,0.0,0.0,1.0,6,0,0,5,0,-4,-4,0,0.0,1,2,1,1.0,-5
2019020693,0,6,8,0.0,0.0,1.0,0.632,7,4,5,12,1,2,8,0.333,1.0,3.0,1,2,1,8,-1,0,6,4,-1.0,2,4,4,1.0,-5
2019020694,1,0,14,0.0,0.0,1.0,0.562,2,3,10,10,0,2,5,0.0,0.0,0.0,7,3,7,9,1,9,-5,-2,0.0,0,3,1,1.0,-6
2019020698,2,4,9,0.0,0.0,0.0,0.5329999999999999,4,2,5,7,1,0,8,0.0,0.0,2.0,7,1,4,6,1,1,-3,4,0.0,1,1,1,0.0,17
2019020701,0,4,7,0.0,0.0,1.0,0.429,5,4,0,8,1,2,13,0.5,1.0,2.0,7,4,1,9,-1,-6,-2,2,-1.0,0,-1,-1,1.0,4
2019020700,2,0,12,0.0,0.0,0.0,0.25,4,3,5,11,2,0,11,0.0,0.0,0.0,9,6,5,9,0,1,-5,0,0.0,-3,0,2,0.0,0
2019020702,1,2,9,0.0,0.0,0.0,0.684,4,7,5,6,1,0,7,1.0,1.0,1.0,4,5,1,6,0,2,0,2,-1.0,2,4,0,0.0,-12
2019020703,0,2,7,0.0,0.0,0.0,0.6,3,2,11,10,1,0,14,0.0,0.0,1.0,5,1,2,4,-1,-7,-2,2,0.0,1,9,6,1.0,5
2019020704,0,6,3,0.0,0.0,1.0,0.28600000000000003,3,2,0,6,0,2,9,0.0,0.0,3.0,4,2,0,3,0,-6,-1,4,0.0,0,0,3,1.0,-6
2019020705,0,6,6,0.0,0.0,1.0,0.522,3,1,7,13,3,2,12,0.333,1.0,3.0,2,2,1,9,-3,-6,1,4,-1.0,-1,6,4,1.0,-18
2019020706,1,4,6,0.0,0.0,2.0,0.526,8,2,4,10,1,4,2,0.5,1.0,2.0,3,1,3,8,0,4,5,0,-1.0,1,1,2,1.0,-5
2019020707,3,2,11,0.0,0.0,0.0,0.421,4,6,5,13,0,0,14,0.0,0.0,1.0,1,4,7,3,3,-3,3,2,0.0,2,-2,10,0.0,-3
2019020708,0,2,10,0.0,0.0,3.0,0.438,6,1,1,6,0,6,12,0.0,0.0,1.0,6,2,1,6,0,-2,0,-4,0.0,-1,0,0,0.0,-19
2019020709,1,0,17,0.0,0.0,1.0,0.5710000000000001,5,1,5,8,0,2,7,0.0,0.0,0.0,14,3,2,11,1,10,-9,-2,0.0,-2,3,-3,0.0,-10
2019020710,1,20,17,0.0,0.0,1.0,0.385,5,4,8,13,1,22,7,0.0,0.0,0.0,6,4,3,12,0,10,-1,-2,0.0,0,5,1,0.0,-12
2019020711,1,4,12,0.5,1.0,2.0,0.28600000000000003,4,3,4,6,2,6,14,1.0,1.0,1.0,3,2,1,7,-1,-2,1,-2,0.0,1,3,-1,0.0,-13
2019020712,2,0,14,0.25,1.0,4.0,0.381,4,2,4,6,0,8,6,0.0,0.0,0.0,5,2,2,8,2,8,-1,-8,1.0,0,2,-2,0.0,9
2019020713,1,0,5,0.0,0.0,0.0,0.615,1,4,0,9,1,0,5,0.0,0.0,0.0,2,5,4,8,0,0,-1,0,0.0,-1,-4,1,0.0,26
2019020714,0,2,13,0.0,0.0,0.0,0.5379999999999999,8,2,3,5,0,2,4,0.0,0.0,0.0,1,1,1,8,0,9,7,0,0.0,1,2,-3,0.0,-7
2019020715,3,2,16,0.5,1.0,2.0,0.583,4,6,5,6,0,4,7,0.0,0.0,1.0,8,4,3,5,3,9,-4,-2,1.0,2,2,1,0.0,13
2019020716,2,0,9,0.0,0.0,0.0,0.429,5,2,0,7,2,0,11,0.0,0.0,0.0,3,2,0,15,0,-2,2,0,0.0,0,0,-8,0.0,18
2019020717,4,4,14,0.0,0.0,0.0,0.4,2,2,5,12,1,2,12,0.0,0.0,1.0,3,0,7,9,3,2,-1,2,0.0,2,-2,3,0.0,31
2019020718,2,2,8,0.333,1.0,3.0,0.609,4,2,3,7,0,6,10,0.0,0.0,1.0,1,1,2,6,2,-2,3,-4,1.0,1,1,1,0.0,15
2019020719,1,2,9,0.0,0.0,1.0,0.471,5,1,2,7,0,2,7,0.0,0.0,1.0,4,2,2,11,1,2,1,0,0.0,-1,0,-4,0.0,-14
2019020720,2,2,12,0.0,0.0,2.0,0.421,2,1,8,8,0,4,12,0.0,0.0,1.0,6,1,4,6,2,0,-4,-2,0.0,0,4,2,1.0,-7
2019020721,2,2,10,0.0,0.0,2.0,0.579,5,5,4,7,0,4,13,0.0,0.0,1.0,6,1,1,8,2,-3,-1,-2,0.0,4,3,-1,0.0,-2
2019020722,2,0,16,0.0,0.0,0.0,0.583,5,8,3,4,0,0,4,0.0,0.0,0.0,6,3,4,9,2,12,-1,0,0.0,5,-1,-5,1.0,-1
2019020723,2,2,13,1.0,1.0,1.0,0.417,5,4,2,12,2,2,12,0.0,0.0,1.0,7,1,3,7,0,1,-2,0,1.0,3,-1,5,0.0,4
2019020724,1,0,9,0.0,0.0,1.0,0.28600000000000003,8,5,5,9,0,2,12,0.0,0.0,0.0,6,1,1,10,1,-3,2,-2,0.0,4,4,-1,0.0,9
2019020725,0,2,12,0.0,0.0,1.0,0.353,3,1,7,13,2,2,11,0.0,0.0,1.0,8,0,4,2,-2,1,-5,0,0.0,1,3,11,1.0,-1
2019020726,1,0,14,0.5,1.0,2.0,0.48,4,2,0,4,0,4,8,0.0,0.0,0.0,2,4,1,7,1,6,2,-4,1.0,-2,-1,-3,1.0,13
2019020734,0,2,10,0.0,0.0,0.0,0.35,8,4,4,13,1,0,17,0.0,0.0,1.0,3,1,3,7,-1,-7,5,2,0.0,3,1,6,1.0,-14
2019020735,1,2,14,0.0,0.0,0.0,0.391,4,4,2,4,2,0,14,1.0,1.0,1.0,1,2,1,6,-1,0,3,2,-1.0,2,1,-2,1.0,10
2019020737,0,2,9,0.0,0.0,1.0,0.45,6,3,1,9,1,2,8,0.0,0.0,1.0,4,5,2,4,-1,1,2,0,0.0,-2,-1,5,1.0,9
2019020738,2,0,13,0.0,0.0,1.0,0.562,2,1,4,4,0,2,8,0.0,0.0,0.0,6,4,0,6,2,5,-4,-2,0.0,-3,4,-2,0.0,10
2019020739,1,2,9,0.5,1.0,2.0,0.55,1,4,1,7,1,4,14,0.0,0.0,1.0,10,2,0,7,0,-5,-9,-2,1.0,2,1,0,0.0,-3
2019020740,0,4,9,0.0,0.0,1.0,0.562,7,1,8,9,0,2,11,0.0,0.0,2.0,3,3,3,5,0,-2,4,2,0.0,-2,5,4,1.0,-36
2019020741,1,0,15,0.0,0.0,1.0,0.684,7,1,7,7,1,2,12,0.0,0.0,0.0,6,6,4,8,0,3,1,-2,0.0,-5,3,-1,1.0,15
2019020742,0,0,5,0.0,0.0,0.0,0.471,4,1,7,10,3,0,6,0.0,0.0,0.0,7,2,5,8,-3,-1,-3,0,0.0,-1,2,2,1.0,-6
2019020743,2,2,11,0.0,0.0,3.0,0.5,2,4,7,9,1,6,11,0.0,0.0,1.0,3,3,8,8,1,0,-1,-4,0.0,1,-1,1,1.0,-9
2019020744,1,2,4,0.0,0.0,0.0,0.333,5,2,4,8,1,0,5,1.0,1.0,1.0,5,7,3,8,0,-1,0,2,-1.0,-5,1,0,0.0,-10
2019020745,3,2,8,0.0,0.0,2.0,0.5,5,4,2,8,0,4,7,0.0,0.0,1.0,7,3,2,5,3,1,-2,-2,0.0,1,0,3,0.0,-2
2019020746,1,0,3,0.0,0.0,0.0,0.35700000000000004,9,1,5,11,0,0,15,0.0,0.0,0.0,2,2,3,6,1,-12,7,0,0.0,-1,2,5,0.0,-17
2019020750,1,0,9,0.0,0.0,0.0,0.5,6,0,4,8,0,0,9,0.0,0.0,0.0,5,1,1,15,1,0,1,0,0.0,-1,3,-7,0.0,15
2019020749,0,21,6,0.0,0.0,2.0,0.438,5,1,2,6,2,9,17,0.0,0.0,3.0,1,0,3,5,-2,-11,4,12,0.0,1,-1,1,1.0,-27
2019020751,1,2,11,0.0,0.0,2.0,0.412,5,2,3,8,0,4,19,0.0,0.0,1.0,1,2,3,5,1,-8,4,-2,0.0,0,0,3,0.0,15
2019020748,3,2,9,0.0,0.0,1.0,0.421,5,4,7,10,0,2,8,0.0,0.0,1.0,4,4,11,17,3,1,1,0,0.0,0,-4,-7,0.0,-7
