Unnamed: 0,Home_goals,Home_pim,Home_shots,Home_powerPlayPercentage,Home_powerPlayGoals,Home_powerPlayOpportunities,Home_faceOffWinPercentage,Home_blocked,Home_takeaways,Home_giveaways,Home_hits,Away_goals,Away_pim,Away_shots,Away_powerPlayPercentage,Away_powerPlayGoals,Away_powerPlayOpportunities,Away_blocked,Away_takeaways,Away_giveaways,Away_hits,Goals_Diff,Shots_Diff,Blocked_Diff,PIM_Diff,PowerPlayGoals_Diff,Takeaways_Diff,Giveaways_Diff,Hits_Diff,Winner_binary,Points_Diff
2019020747,0,0,12,0.0,0.0,1.0,0.467,2,1,4,4,3,2,10,0.0,0.0,0.0,3,3,7,11,-3,2,-1,-2,0.0,-2,-3,-7,1.0,7
2019020752,0,2,12,0.0,0.0,1.0,0.5329999999999999,6,1,3,9,1,2,7,0.0,0.0,1.0,3,3,3,5,-1,5,3,0,0.0,-2,0,4,0.0,-2
2019020753,2,2,12,0.0,0.0,0.0,0.35,3,2,3,12,0,2,7,0.0,0.0,0.0,6,1,1,12,2,5,-3,0,0.0,1,2,0,0.0,-10
2019020754,0,2,9,0.0,0.0,1.0,0.643,7,1,1,12,0,4,3,0.0,0.0,0.0,8,0,3,8,0,6,-1,-2,0.0,1,-2,4,0.0,10
2019020755,1,2,6,0.0,0.0,0.0,0.278,8,0,3,11,3,0,14,0.0,0.0,1.0,3,1,0,12,-2,-8,5,2,0.0,-1,3,-1,0.0,-3
2019020756,1,2,10,0.0,0.0,0.0,0.562,6,4,1,7,0,0,7,0.0,0.0,1.0,7,5,1,9,1,3,-1,2,0.0,-1,0,-2,0.0,-3
2019020757,1,2,11,0.0,0.0,0.0,0.429,3,1,3,12,0,0,9,0.0,0.0,1.0,3,3,1,8,1,2,0,2,0.0,-2,2,4,1.0,-8
2019020758,2,4,8,0.0,0.0,0.0,0.474,10,3,4,3,0,2,8,0.0,0.0,1.0,10,7,4,20,2,0,0,2,0.0,-4,0,-17,0.0,-2
2019020646,0,0,6,0.0,0.0,0.0,0.6,1,7,5,4,0,0,7,0.0,0.0,0.0,2,4,5,9,0,-1,-1,0,0.0,3,0,-5,0.0,-2
2019020647,1,11,8,0.0,0.0,2.0,0.412,5,1,3,16,1,11,10,0.0,0.0,2.0,7,2,2,9,0,-2,-2,0,0.0,-1,1,7,1.0,-11
2019020648,0,9,7,0.0,0.0,2.0,0.611,5,5,3,14,0,9,7,0.0,0.0,2.0,9,0,1,15,0,0,-4,0,0.0,5,2,-1,1.0,-11
2019020649,0,0,12,0.0,0.0,0.0,0.7859999999999999,7,3,5,4,0,0,10,0.0,0.0,0.0,4,6,1,4,0,2,3,0,0.0,-3,4,0,1.0,-16
2019020641,1,0,6,0.5,1.0,2.0,0.526,3,2,1,11,0,4,9,0.0,0.0,0.0,3,2,4,14,1,-3,0,-4,1.0,0,-3,-3,1.0,12
2019020642,0,2,9,0.0,0.0,1.0,0.429,4,4,1,9,0,2,11,0.0,0.0,1.0,2,1,2,11,0,-2,2,0,0.0,3,-1,-2,1.0,7
2019020645,1,4,5,0.0,0.0,0.0,0.846,8,0,5,6,0,0,11,0.0,0.0,2.0,3,1,1,4,1,-6,5,4,0.0,-1,4,2,0.0,-4
2019020643,1,0,13,0.0,0.0,2.0,0.429,4,2,0,4,0,4,7,0.0,0.0,0.0,5,4,0,4,1,6,-1,-4,0.0,-2,0,0,0.0,-4
2019020644,0,2,9,0.0,0.0,0.0,0.294,4,3,3,16,3,0,11,1.0,1.0,1.0,5,2,0,8,-3,-2,-1,2,-1.0,1,3,8,0.0,-6
2019020650,3,2,11,0.5,1.0,2.0,0.429,3,2,6,8,0,4,11,0.0,0.0,1.0,4,0,6,8,3,0,-1,-2,1.0,2,0,0,0.0,1
2019020651,1,4,7,0.0,0.0,0.0,0.5,6,1,2,10,1,0,13,0.0,0.0,2.0,3,3,0,7,0,-6,3,4,0.0,-2,2,3,1.0,6
2019020652,0,7,11,0.0,0.0,2.0,0.304,7,1,1,7,2,9,20,0.0,0.0,1.0,4,4,1,7,-2,-9,3,-2,0.0,-3,0,0,1.0,-4
2019020760,1,0,11,0.5,1.0,2.0,0.412,2,1,2,4,1,4,6,0.0,0.0,0.0,8,0,3,5,0,5,-6,-4,1.0,1,-1,-1,1.0,-7
2019020761,1,2,14,0.0,0.0,2.0,0.588,1,2,4,7,1,4,8,0.0,0.0,1.0,5,5,2,11,0,6,-4,-2,0.0,-3,2,-4,0.0,11
2019020764,3,2,8,1.0,1.0,1.0,0.5710000000000001,5,2,4,4,1,2,6,0.0,0.0,1.0,3,1,5,12,2,2,2,0,1.0,1,-1,-8,0.0,5
2019020762,0,4,14,0.0,0.0,1.0,0.273,7,0,4,8,2,2,8,1.0,2.0,2.0,3,2,6,9,-2,6,4,2,-2.0,-2,-2,-1,1.0,-11
2019020763,0,2,12,0.0,0.0,0.0,0.409,3,1,4,10,0,0,8,0.0,0.0,1.0,4,0,3,14,0,4,-1,2,0.0,1,1,-4,0.0,-9
2019020765,0,2,6,0.0,0.0,0.0,0.75,5,3,1,7,0,0,7,0.0,0.0,1.0,1,2,2,12,0,-1,4,2,0.0,1,-1,-5,1.0,-5
2019020768,1,6,9,0.0,0.0,1.0,0.5,3,3,7,7,1,2,12,0.333,1.0,3.0,4,2,7,7,0,-3,-1,4,-1.0,1,0,0,1.0,-20
2019020769,1,4,12,0.5,1.0,2.0,0.421,5,4,7,10,1,4,13,0.5,1.0,2.0,6,1,4,7,0,-1,-1,0,0.0,3,3,3,1.0,1
2019020773,2,0,11,0.0,0.0,0.0,0.4,4,4,3,7,0,0,4,0.0,0.0,0.0,2,2,5,17,2,7,2,0,0.0,2,-2,-10,0.0,3
2019020774,1,2,8,0.5,1.0,2.0,0.524,0,0,3,8,1,4,13,1.0,1.0,1.0,3,1,1,16,0,-5,-3,-2,0.0,-1,2,-8,1.0,8
2019020775,2,2,11,1.0,2.0,2.0,0.526,0,7,6,5,3,4,8,0.0,0.0,0.0,3,5,6,6,-1,3,-3,-2,2.0,2,0,-1,1.0,-11
2019020776,2,2,15,0.0,0.0,2.0,0.68,4,4,7,11,3,4,7,1.0,1.0,1.0,8,3,2,5,-1,8,-4,-2,-1.0,1,5,6,1.0,22
2019020777,1,0,10,0.0,0.0,0.0,0.5,8,5,6,11,1,0,12,0.0,0.0,0.0,7,3,6,6,0,-2,1,0,0.0,2,0,5,1.0,1
2019020779,2,6,12,0.0,0.0,1.0,0.333,2,1,4,11,1,2,12,0.0,0.0,3.0,4,1,6,6,1,0,-2,4,0.0,0,-2,5,0.0,-14
2019020778,0,12,18,0.0,0.0,0.0,0.433,6,3,9,10,1,12,12,0.0,0.0,0.0,4,2,3,9,-1,6,2,0,0.0,1,6,1,1.0,-1
2019020780,1,2,12,1.0,1.0,1.0,0.476,5,4,9,10,0,2,5,0.0,0.0,1.0,2,1,7,15,1,7,3,0,1.0,3,2,-5,1.0,-22
2019020782,1,2,11,1.0,1.0,1.0,0.5,5,4,3,6,0,2,7,0.0,0.0,1.0,0,2,3,8,1,4,5,0,1.0,2,0,-2,1.0,0
2019020783,1,2,8,0.0,0.0,1.0,0.5710000000000001,3,1,3,13,2,2,8,0.0,0.0,1.0,4,3,1,7,-1,0,-1,0,0.0,-2,2,6,1.0,-10
2019020784,0,0,13,0.0,0.0,1.0,0.615,6,1,0,11,1,2,10,0.0,0.0,0.0,8,0,0,10,-1,3,-2,-2,0.0,1,0,1,1.0,16
2019020786,0,2,3,0.0,0.0,0.0,0.471,5,2,5,13,1,0,4,1.0,1.0,1.0,5,0,1,13,-1,-1,0,2,-1.0,2,4,0,0.0,7
2019020785,0,0,15,0.0,0.0,1.0,0.261,5,3,4,4,0,2,7,0.0,0.0,0.0,8,1,0,9,0,8,-3,-2,0.0,2,4,-5,0.0,22
2019020788,0,2,6,0.0,0.0,0.0,0.6,2,3,5,6,2,0,16,0.0,0.0,1.0,3,0,3,9,-2,-10,-1,2,0.0,3,2,-3,1.0,4
2019020787,0,2,5,0.0,0.0,0.0,0.529,4,2,5,10,2,0,16,0.0,0.0,1.0,7,0,3,13,-2,-11,-3,2,0.0,2,2,-3,1.0,-28
2019020789,1,6,12,0.0,0.0,0.0,0.524,3,2,6,8,1,2,14,0.5,1.0,2.0,6,0,2,10,0,-2,-3,4,-1.0,2,4,-2,1.0,-16
2019020790,2,2,13,0.0,0.0,0.0,0.56,8,4,5,6,0,0,3,0.0,0.0,1.0,13,1,5,15,2,10,-5,2,0.0,3,0,-9,0.0,-12
2019020791,2,0,11,0.0,0.0,1.0,0.438,1,3,5,9,2,2,10,0.0,0.0,0.0,4,4,5,11,0,1,-3,-2,0.0,-1,0,-2,1.0,-20
2019020793,1,0,12,0.0,0.0,1.0,0.25,5,0,4,14,1,2,5,0.0,0.0,0.0,3,2,9,3,0,7,2,-2,0.0,-2,-5,11,1.0,1
2019020792,1,2,5,0.0,0.0,0.0,0.429,8,1,2,8,0,0,5,0.0,0.0,1.0,3,2,3,5,1,0,5,2,0.0,-1,-1,3,0.0,-11
2019020794,1,2,16,0.0,0.0,0.0,0.619,3,5,2,10,0,0,8,0.0,0.0,1.0,10,3,2,5,1,8,-7,2,0.0,2,0,5,0.0,-8
2019020796,0,2,11,0.0,0.0,1.0,0.438,2,0,7,11,1,2,6,1.0,1.0,1.0,4,3,5,12,-1,5,-2,0,-1.0,-3,2,-1,1.0,-24
2019020798,2,0,7,0.5,1.0,2.0,0.7,2,2,4,12,0,4,11,0.0,0.0,0.0,6,2,2,5,2,-4,-4,-4,1.0,0,2,7,0.0,-1
2019020795,0,4,10,0.0,0.0,0.0,0.667,3,7,4,7,0,0,6,0.0,0.0,2.0,8,2,0,12,0,4,-5,4,0.0,5,4,-5,0.0,16
2019020799,1,2,12,0.0,0.0,1.0,0.556,2,2,3,6,0,4,14,0.0,0.0,0.0,4,1,1,7,1,-2,-2,-2,0.0,1,2,-1,0.0,-16
2019020797,1,2,9,0.0,0.0,1.0,0.412,4,1,5,8,0,2,9,0.0,0.0,1.0,0,2,1,5,1,0,4,0,0.0,-1,4,3,1.0,-16
2019020801,0,0,11,0.0,0.0,1.0,0.421,6,3,1,10,1,2,12,0.0,0.0,0.0,2,2,1,2,-1,-1,4,-2,0.0,1,0,8,1.0,-20
2019020800,0,4,2,0.0,0.0,3.0,0.6,11,1,3,5,0,6,14,0.0,0.0,2.0,4,3,3,5,0,-12,7,-2,0.0,-2,0,0,1.0,-4
2019020802,0,4,12,0.0,0.0,1.0,0.579,5,0,1,5,1,2,12,0.0,0.0,2.0,2,5,3,2,-1,0,3,2,0.0,-5,-2,3,1.0,4
2019020803,1,7,11,0.0,0.0,1.0,0.579,3,1,4,4,3,7,14,1.0,1.0,1.0,5,2,4,6,-2,-3,-2,0,-1.0,-1,0,-2,1.0,0
2019020804,0,0,14,0.0,0.0,0.0,0.28,4,2,6,5,1,0,13,0.0,0.0,0.0,3,2,4,10,-1,1,1,0,0.0,0,2,-5,1.0,-2
2019020805,0,8,2,0.0,0.0,1.0,0.526,7,3,3,8,0,4,13,0.0,0.0,3.0,0,1,1,4,0,-11,7,4,0.0,2,2,4,1.0,-19
2019020806,1,6,10,0.0,0.0,2.0,0.455,6,2,10,16,2,6,12,0.0,0.0,2.0,5,3,1,10,-1,-2,1,0,0.0,-1,9,6,1.0,6
2019020807,0,2,10,0.0,0.0,0.0,0.375,9,0,7,15,1,0,10,0.0,0.0,1.0,7,2,2,7,-1,0,2,2,0.0,-2,5,8,1.0,-8
2019020808,0,4,9,0.0,0.0,0.0,0.381,7,3,7,18,1,0,13,0.0,0.0,2.0,4,2,3,10,-1,-4,3,4,0.0,1,4,8,0.0,-3
2019020809,0,2,15,0.0,0.0,0.0,0.385,5,4,6,4,1,0,9,0.0,0.0,1.0,3,4,1,13,-1,6,2,2,0.0,0,5,-9,1.0,2
2019020810,2,4,13,1.0,2.0,2.0,0.368,3,2,3,8,2,4,7,1.0,2.0,2.0,6,7,2,11,0,6,-3,0,0.0,-5,1,-3,1.0,-8
2019020811,0,2,5,0.0,0.0,0.0,0.455,4,0,6,12,0,0,11,0.0,0.0,1.0,1,1,0,4,0,-6,3,2,0.0,-1,6,8,1.0,-35
2019020818,0,0,14,0.0,0.0,0.0,0.333,4,2,5,6,0,0,15,0.0,0.0,0.0,5,2,1,8,0,-1,-1,0,0.0,0,4,-2,0.0,2
2019020817,0,2,6,0.0,0.0,1.0,0.5,2,1,4,10,1,2,8,0.0,0.0,1.0,2,4,0,5,-1,-2,0,0,0.0,-3,4,5,0.0,32
2019020816,1,2,18,0.0,0.0,2.0,0.6,5,0,4,12,1,4,7,1.0,1.0,1.0,8,1,7,9,0,11,-3,-2,-1.0,-1,-3,3,0.0,0
2019020815,1,0,8,0.0,0.0,1.0,0.316,11,1,4,3,0,2,9,0.0,0.0,0.0,0,2,1,9,1,-1,11,-2,0.0,-1,3,-6,1.0,-10
2019020814,2,0,8,0.0,0.0,0.0,0.5710000000000001,1,1,5,11,1,0,11,0.0,0.0,0.0,3,2,3,11,1,-3,-2,0,0.0,-1,2,0,0.0,8
2019020813,1,0,8,0.0,0.0,1.0,0.429,6,2,0,10,2,2,8,0.0,0.0,0.0,4,6,5,4,-1,0,2,-2,0.0,-4,-5,6,1.0,-9
2019020812,1,0,13,0.0,0.0,1.0,0.529,2,4,5,9,0,2,6,0.0,0.0,0.0,4,3,3,7,1,7,-2,-2,0.0,1,2,2,0.0,9
2019020819,0,0,9,0.0,0.0,2.0,0.588,4,2,7,9,1,4,3,0.0,0.0,0.0,5,2,4,10,-1,6,-1,-4,0.0,0,3,-1,1.0,-1
2019020820,1,4,9,0.0,0.0,1.0,0.7,5,5,1,7,0,4,7,0.0,0.0,1.0,1,3,1,5,1,2,4,0,0.0,2,0,2,0.0,7
2019020821,0,4,12,0.0,0.0,1.0,0.588,2,0,5,7,0,2,4,0.0,0.0,2.0,5,2,2,3,0,8,-3,2,0.0,-2,3,4,0.0,-4
2019020822,1,2,9,0.0,0.0,1.0,0.5770000000000001,2,2,8,10,1,2,15,0.0,0.0,1.0,4,2,6,7,0,-6,-2,0,0.0,0,2,3,1.0,1
2019020824,0,2,12,0.0,0.0,0.0,0.438,5,1,4,10,0,0,4,0.0,0.0,1.0,6,1,5,13,0,8,-1,2,0.0,0,-1,-3,0.0,-3
2019020823,0,5,16,0.0,0.0,2.0,0.524,4,4,9,11,0,9,9,0.0,0.0,0.0,3,7,5,5,0,7,1,-4,0.0,-3,4,6,1.0,12
2019020825,3,0,13,0.0,0.0,1.0,0.45,4,4,3,15,1,2,9,0.0,0.0,0.0,3,3,4,4,2,4,1,-2,0.0,1,-1,11,0.0,-9
2019020826,0,2,5,0.0,0.0,0.0,0.609,7,5,4,5,0,0,16,0.0,0.0,1.0,2,5,1,14,0,-11,5,2,0.0,0,3,-9,1.0,-19
2019020831,0,0,7,0.0,0.0,0.0,0.438,12,4,9,7,2,0,5,0.0,0.0,0.0,6,4,7,6,-2,2,6,0,0.0,0,2,1,0.0,23
2019020828,1,4,7,1.0,1.0,1.0,0.471,4,1,10,10,0,2,14,0.0,0.0,2.0,6,0,2,10,1,-7,-2,2,1.0,1,8,0,0.0,8
2019020832,0,2,9,0.0,0.0,1.0,0.632,5,0,3,7,1,2,10,0.0,0.0,1.0,2,2,2,6,-1,-1,3,0,0.0,-2,1,1,1.0,19
2019020827,0,4,8,0.0,0.0,2.0,0.562,0,2,2,9,2,4,7,0.0,0.0,0.0,4,1,1,7,-2,1,-4,0,0.0,1,1,2,1.0,25
2019020830,1,2,13,0.5,1.0,2.0,0.52,3,3,4,6,1,4,7,0.0,0.0,1.0,4,3,6,11,0,6,-1,-2,1.0,0,-2,-5,1.0,3
2019020829,2,2,16,0.0,0.0,1.0,0.429,2,1,1,10,0,4,10,0.0,0.0,1.0,6,3,0,8,2,6,-4,-2,0.0,-2,1,2,0.0,0
2019020833,1,0,5,0.0,0.0,2.0,0.444,3,1,5,11,1,4,13,0.0,0.0,0.0,10,2,1,6,0,-8,-7,-4,0.0,-1,4,5,1.0,-17
2019020835,3,9,13,0.5,1.0,2.0,0.52,8,0,0,4,0,9,10,0.0,0.0,2.0,5,2,3,3,3,3,3,0,1.0,-2,-3,1,0.0,-11
2019020834,0,2,13,0.0,0.0,2.0,0.45,5,1,2,11,1,4,9,0.0,0.0,1.0,2,1,1,3,-1,4,3,-2,0.0,0,1,8,1.0,15
2019020836,1,0,16,0.0,0.0,0.0,0.409,4,8,8,11,2,0,11,0.0,0.0,0.0,7,2,4,3,-1,5,-3,0,0.0,6,4,8,1.0,3
2019020838,1,2,10,0.0,0.0,1.0,0.5,2,2,2,7,0,2,8,0.0,0.0,1.0,5,3,4,8,1,2,-3,0,0.0,-1,-2,-1,1.0,-2
2019020837,2,6,12,0.0,0.0,1.0,0.368,9,4,5,6,2,2,14,0.333,1.0,3.0,3,3,3,6,0,-2,6,4,-1.0,1,2,0,1.0,12
